problemId,C,C++,C++14,Go,Java,Javascript,Python,Python3
5b5c8cd7276e2200208fed62,65.0,50.0,16.0,5.0,27.0,,1.0,48.0
5b645f711b2cd40020b6c771,18.0,12.0,4.0,,14.0,,2.0,36.0
5b64600d1b2cd40020b6c772,3.0,7.0,2.0,,5.0,,,17.0
5b649819c0b1b80020eb30e1,12.0,16.0,5.0,,33.0,,1.0,40.0
5b6c3ec18cab100020e963b7,62.0,33.0,4.0,,23.0,4.0,2.0,24.0
5b6c3fc08cab100020e963b8,16.0,5.0,8.0,,8.0,,,16.0
5b6c42d08cab100020e963b9,14.0,16.0,6.0,,11.0,,1.0,29.0
5b714d3c155c0000206d76fc,5.0,4.0,4.0,,9.0,,,14.0
5b72e7f9750b6100209d9f12,50.0,15.0,16.0,,12.0,3.0,2.0,35.0
5b72f1a5750b6100209d9f13,5.0,5.0,3.0,,4.0,,,19.0
5b96a51f9808fa0020a42972,38.0,9.0,9.0,1.0,17.0,,,58.0
5b96a89fe701a900207872a6,2.0,,3.0,,12.0,,,20.0
5b96a9e0e701a900207872a7,,6.0,5.0,,2.0,,,5.0
5b9e444fc81946001f697c1d,,1.0,,,9.0,,,6.0
5b9e5804c81946001f697c1e,28.0,29.0,20.0,,21.0,,,14.0
5b9e5acec81946001f697c1f,10.0,13.0,9.0,,12.0,,,7.0
5b9e5d0dc81946001f697c20,18.0,17.0,10.0,,15.0,,,15.0
5b9e6068888c06001ffabf9b,7.0,21.0,5.0,,12.0,,,34.0
5bae773afda1fc0021bbf24a,35.0,13.0,11.0,,12.0,,,18.0
5bae7910fda1fc0021bbf24b,2.0,2.0,3.0,,5.0,,,10.0
5bae7e94fda1fc0021bbf24c,2.0,2.0,,,7.0,,,7.0
5c2c5ac54ed5920022b4ae89,1.0,3.0,,,1.0,,,6.0
5c2c5c6cec9f5000224eef12,,,4.0,,13.0,,,17.0
5c2c5e61ec9f5000224eef13,11.0,6.0,7.0,,10.0,,,18.0
5c2cd2eee3e5da002279017e,22.0,3.0,3.0,,5.0,,,16.0
5c2dadc092a9930022a9dc85,15.0,2.0,7.0,,7.0,,1.0,13.0
5c2daf4992a9930022a9dc86,6.0,,10.0,,3.0,,,4.0
5c39eca03646190022847c54,20.0,34.0,7.0,2.0,7.0,1.0,,32.0
5c39ed573646190022847c59,6.0,13.0,,1.0,2.0,,,21.0
5c39f0543646190022847c61,15.0,17.0,6.0,1.0,5.0,,,18.0
5c39f1023646190022847c62,12.0,1.0,,1.0,3.0,,,19.0
5c39f4af80aaed0022b63275,8.0,1.0,,,1.0,1.0,,20.0
5c4ae1bc91b74800225c106d,15.0,13.0,16.0,,6.0,,4.0,19.0
5c4ae2fd91b74800225c106e,3.0,7.0,1.0,,7.0,,3.0,5.0
5c506d5c3027fa0022016678,12.0,4.0,11.0,,11.0,,,6.0
5c506e743027fa0022016682,35.0,3.0,11.0,,13.0,,,18.0
5c5072073027fa002201668a,3.0,2.0,1.0,,3.0,,,9.0
5c7abbd75dfcc900221e1119,4.0,10.0,6.0,,5.0,,,3.0
5c7ac7bf5dfcc900221e112b,,4.0,,,,,,3.0
5c7ac9bc5dfcc900221e112d,,5.0,7.0,,,,,5.0
5c98eb0d16c4b60022cd52f0,,18.0,,,9.0,,,2.0
5c98edc316c4b60022cd52f1,1.0,10.0,4.0,,1.0,,,3.0
5c98f64b16c4b60022cd52f3,,7.0,1.0,,2.0,,,6.0
5c9b945e6769cb002257bcb5,,7.0,,,,,,1.0
5c9f2ade66d9c7002236765e,7.0,18.0,1.0,,8.0,,,15.0
5c9f3d52a9c6000022af0e05,1.0,3.0,3.0,4.0,12.0,,,17.0
5ca063dd08f90d00223749ea,,6.0,3.0,,1.0,,,11.0
5d3c780e7cb1120022007f29,21.0,20.0,7.0,,9.0,1.0,,29.0
5d3c81e87cb1120022007f2f,18.0,11.0,2.0,,3.0,,,20.0
5d3c84697cb1120022007f30,1.0,18.0,6.0,,4.0,,,31.0
5d3c94af7cb1120022007f38,13.0,19.0,4.0,1.0,8.0,,,16.0
5d3c981a7cb1120022007f39,4.0,12.0,3.0,,9.0,,,23.0
5d46f3ce86031f00223f4ce7,13.0,15.0,4.0,,4.0,,,30.0
5d46f62486031f00223f4ce8,,,1.0,,5.0,,,15.0
5d49981887a3d00022372d92,,2.0,2.0,,2.0,,,10.0
5d615f02ec3cc6002207e857,98.0,33.0,5.0,,28.0,,1.0,67.0
5d616091ec3cc6002207e858,11.0,9.0,4.0,,5.0,,,27.0
5d61680dec3cc6002207e876,20.0,10.0,6.0,,10.0,,,20.0
5d623acae007440022d873c0,5.0,1.0,6.0,,10.0,,,57.0
5d7a599fb112e300220a44d0,15.0,22.0,5.0,,15.0,,,19.0
5d7a604bb112e300220a44d1,4.0,4.0,4.0,,5.0,,,8.0
5d7a635db112e300220a44d2,1.0,12.0,2.0,,,,,35.0
5e15ec2073aedb002281070e,32.0,25.0,,,3.0,,,17.0
5e15ed4773aedb002281070f,12.0,17.0,,,4.0,,,24.0
5e15eea073aedb0022810710,12.0,33.0,,1.0,6.0,,,37.0
5e15efea73aedb0022810711,,6.0,,,,,,23.0
5e2d10a1533c8d0022c770f2,41.0,22.0,,,4.0,,,24.0
5e2d1287533c8d0022c770f3,18.0,33.0,,,,,,60.0
5e2d281c533c8d0022c770fd,4.0,9.0,,,,,,9.0
5e2d29af533c8d0022c770fe,3.0,,,,,,,8.0
5e6cb4e245fd530022f5ad68,1.0,10.0,,,,,2.0,42.0
5e6dfacd502c4b0022178adb,1.0,7.0,,,,,1.0,28.0
5e6e0be659366b002223786e,,2.0,,,,,,26.0
5e8065b799770c00221d371a,10.0,21.0,,,,,,37.0
5e8088ab99770c00221d371d,,12.0,,,11.0,,,52.0
5e80968d99770c00221d371e,,2.0,,,,,,7.0
5e987904773965002294ebf1,7.0,22.0,,,4.0,,1.0,83.0
5e988a5f773965002294ebf2,3.0,8.0,,,,,,55.0
5e98a5f03af9550022fc130c,,5.0,,,,,,11.0
5e98b2ae3af9550022fc1311,2.0,19.0,,,,,,35.0
5e98ba9d3af9550022fc1315,,2.0,,,,,,4.0
5e98bde83af9550022fc1316,,,,,,,,4.0
5e98c4f63af9550022fc1317,,2.0,,,,,,5.0
5f3523bc72b45b0022f74c55,2.0,6.0,,,1.0,,,17.0
5f35262e72b45b0022f74c56,1.0,7.0,,,1.0,,,12.0
5f353ac472b45b0022f74c5f,2.0,3.0,,,1.0,,,36.0
5f368132d83e600022d1b148,19.0,8.0,,,8.0,,,36.0
5f6ad8a34bf84b0022982aff,,22.0,,,1.0,,,25.0
5f6ad96e4bf84b0022982b00,1.0,19.0,,,,,,36.0
5f6ae4ad4bf84b0022982b01,,5.0,,,,,,6.0
5f6ae8654bf84b0022982b02,,12.0,,,,,,7.0
5f6c59f08cc9c4002205a871,19.0,48.0,,,2.0,,,19.0
5f6c60908cc9c4002205a872,,6.0,,,,,,11.0
5f81693ae5737600220575c1,,17.0,,,2.0,,,19.0
5f817795e5737600220575c2,1.0,8.0,,,1.0,,,15.0
5f828e1a253e190022125d37,,,,,,,,1.0
5f9b1c991f59c70022ee5f45,,5.0,,,,,,12.0
5f9bc7e84a081b0022c2d44d,,6.0,,,,,,5.0
5f9d08ccf6afbe00225d2aa0,,6.0,,,,,,5.0
5f9d0adef6afbe00225d2aa1,,,,,,,,6.0
5fae67ab77dd8c0022cb042f,,26.0,,,1.0,,,15.0
5fae6cea77dd8c0022cb0432,,2.0,,,,,,
5fae92e8a9b4ba002281a81e,,11.0,,,5.0,,,29.0
5fae9698a9b4ba002281a820,,8.0,,,,,,7.0
5fb0bdc8b5538800223c1c96,4.0,25.0,,,,,,17.0
5fbf99a59296860022aa89da,1.0,20.0,,,3.0,,,27.0
5fbf9d829296860022aa89db,,4.0,,,1.0,,,7.0
5fbf9f6f9296860022aa89dc,4.0,14.0,,,5.0,,,23.0
5fbfa1179296860022aa89dd,,2.0,,,,,,6.0
5fbfa2779296860022aa89de,,1.0,,,,,,6.0
5fbfa34b9296860022aa89df,,7.0,,,1.0,,,9.0
602f504deb158c002271b467,,14.0,,,,,1.0,15.0
602f5084eb158c002271b468,,7.0,,,1.0,,,14.0
602f525deb158c002271b469,,,,,,,,10.0
602f53f4eb158c002271b46a,,2.0,,,,,,29.0
602f54d1eb158c002271b46b,5.0,10.0,,,,,,21.0
602f5e6aeb158c002271b46c,6.0,17.0,,,,,,35.0
604a67a16350fa0022ce1c6d,,1.0,,,,,,11.0
604a6ad46350fa0022ce1c6e,,7.0,,,,,,5.0
604ba7dfc244c800220fc499,,5.0,,,,,,34.0
604bab0ec244c800220fc49a,,7.0,,,,,,12.0
6055b8213d00c8002293e4ce,,10.0,,,,,,67.0
6055b90e3d00c8002293e4cf,,2.0,,,,,,4.0
6055bd3d3d00c8002293e4d3,,5.0,,,,,,17.0
6055c43ecef4570022ac9c14,,4.0,,,,,,27.0
6065cf6645a5d100227e079b,3.0,22.0,,,3.0,,,35.0
6065d4d445a5d100227e079c,19.0,35.0,,,27.0,,,37.0
6065d6f645a5d100227e079e,1.0,5.0,,,3.0,,,6.0
6065d73145a5d100227e079f,,5.0,,,1.0,,,11.0
6065da6245a5d100227e07a7,,,,,,,,4.0
6065de3f45a5d100227e07b7,,7.0,,,2.0,,,21.0
6065e97c45a5d100227e07bd,3.0,4.0,,,,,,17.0
60fa6ca19e8f310022c7d33f,30.0,1.0,,,,,,5.0
60fa79a49e8f310022c7d341,40.0,10.0,,,,,,21.0
60fa7d829e8f310022c7d343,61.0,6.0,,,,,,11.0
610e74874575780022cbbdba,,1.0,,,,,,2.0
610e99164575780022cbbdc6,2.0,12.0,,,6.0,,,58.0
610eae514575780022cbbdd1,4.0,26.0,,,2.0,,,54.0
613b4d6df969d70023246c83,4.0,5.0,,,2.0,,,48.0
613b7375f969d70023246c88,11.0,9.0,,,3.0,,,43.0
613b896982592a00235c0a3d,4.0,13.0,,,3.0,,,22.0
613b951f82592a00235c0a3f,3.0,7.0,,,2.0,,,24.0
613c5a447fedaa0023099468,4.0,13.0,,,2.0,,,40.0
614c630ba5479f002378776d,,2.0,,,1.0,,,9.0
614c65eba5479f002378776e,,2.0,,,1.0,,,21.0
614c708da5479f0023787774,1.0,3.0,,,11.0,,1.0,27.0
614cb2c0b93b4e00230e2782,,,,,4.0,,,15.0
618bff9869467c00238c69b7,7.0,5.0,,,,1.0,,32.0
618e5faf779365002387323e,13.0,6.0,,,2.0,,1.0,38.0
618e85c97793650023873240,9.0,7.0,,,1.0,,,29.0
618e88557793650023873242,,1.0,,,2.0,,1.0,34.0
618e8ad77793650023873243,5.0,3.0,,,1.0,,,22.0
618e8b9e7793650023873244,,,,,,,,15.0
618ec686dfc674002301c26b,,,,,2.0,,,8.0
618edf00dfc674002301c26e,,2.0,,,,,,5.0
61d941c1e0fb7f00247ac020,,7.0,,,3.0,,,10.0
61d95ad22d678f002403d02c,,4.0,,,5.0,,,14.0
61d9c1bd2d678f002403d068,,2.0,,,,,,2.0
61d9c8cf2d678f002403d077,,1.0,,,6.0,,1.0,14.0
61fe01ebaa33750024aa5136,2.0,6.0,,,,,,43.0
61fe3451aa33750024aa513d,,3.0,,,,,1.0,18.0
61fe5beeaa33750024aa515b,,9.0,,,,,,9.0
61fe5e93aa33750024aa515c,,4.0,,,,,,7.0
6217ba5fa5433500245d867a,,6.0,,,3.0,,,42.0
6217c009a5433500245d867b,,3.0,,,3.0,,,8.0
6219d5e842c3a8002490d63b,2.0,10.0,,,6.0,,,53.0
621a24954323e500241da25d,,6.0,,,7.0,,,26.0
621a6137bdcbbe0024af9ab5,1.0,10.0,,,3.0,,,41.0
62550242ff3fbf0024dfddd7,,14.0,,,18.0,,9.0,37.0
6255468d5be5d3002424a735,,11.0,,,3.0,,,4.0
6255b691aa9acd0024d4166c,3.0,11.0,,,1.0,,1.0,51.0
6255c1a8c375f900249dbad8,,27.0,,,14.0,,,3.0
625659e3c375f900249dbb33,,17.0,,,1.0,,,2.0
6256b3db9f86540024c5653f,,12.0,,,13.0,,,
6256b4669f86540024c56541,,21.0,,,2.0,,,38.0
6257c4a8fb139700243c5214,,1.0,,,,,,
6257f176fb139700243c58c8,,8.0,,,1.0,,,3.0
6257f1d4fb139700243c58ca,,14.0,,,3.0,,,10.0
62592ec26040770024b11f4b,,10.0,,,7.0,,,3.0
62d986ea361a970022e888e0,2.0,21.0,,,15.0,,,44.0
62d98871361a970022e888e1,4.0,18.0,,,1.0,,,30.0
62da96d263c43c00220909a0,8.0,21.0,,,,,2.0,42.0
62dab1b463c43c00220909af,6.0,16.0,,,8.0,,2.0,21.0
6301b5768296fc0022ebb48a,1.0,5.0,,,1.0,,,7.0
6301d0e28296fc0022ebb48e,2.0,9.0,,,,,1.0,16.0
6301dd458296fc0022ebb49d,,1.0,,,4.0,,,5.0
6301e8473a18140022ffed0d,1.0,3.0,,,8.0,,1.0,33.0
63308489ab6261002246d32b,19.0,50.0,,,44.0,,,37.0
63308b35ab6261002246d32d,8.0,40.0,,,9.0,,,9.0
63308dddab6261002246d332,2.0,10.0,,,6.0,,,13.0
633091c9ab6261002246d333,7.0,48.0,,,23.0,,,33.0
63309651ab6261002246d342,105.0,72.0,,,78.0,,,33.0
63309926ab6261002246d343,,20.0,,,5.0,,,27.0
63309a73ab6261002246d344,10.0,45.0,,,13.0,,,41.0
63309bcaab6261002246d347,4.0,21.0,,,16.0,,,39.0
63309d795766d0002293b563,8.0,13.0,,,11.0,,,14.0
6330dde45766d0002293b565,23.0,16.0,,,20.0,,,19.0
6335f3dd125f8a00222e06eb,,14.0,,,1.0,,,5.0
6335f8b9125f8a00222e06ec,,14.0,,,1.0,,,3.0
63361b9a125f8a00222e06ef,,4.0,,,1.0,,,3.0
633620e3fe6e62002205e71e,1.0,11.0,,,,,,
6336ad26ee62f10022c977c2,,9.0,,,1.0,,,4.0
6336b760ee62f10022c97c37,,7.0,,,3.0,,,
6336c0b1f9be3c00226020f2,,,,,,,,1.0
